participant,min_train_loss,min_train_mae,init_src_content_weight_mean_0,trained_src_content_weight_mean_0,init_src_content_weight_mean_1,trained_src_content_weight_mean_1,init_src_content_weight_std_0,trained_src_content_weight_std_0,init_src_content_weight_std_1,trained_src_content_weight_std_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_weight_mean_0,trained_src_edge_weight_mean_0,init_src_edge_weight_std_0,trained_src_edge_weight_std_0,init_full_src_edge_weight_mean_0,trained_full_src_edge_weight_mean_0,init_full_src_edge_weight_std_0,trained_full_src_edge_weight_std_0,init_dst_content_weight_mean_0,trained_dst_content_weight_mean_0,init_dst_content_weight_std_0,trained_dst_content_weight_std_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_weight_mean_0,trained_dst_edge_weight_mean_0,init_dst_edge_weight_std_0,trained_dst_edge_weight_std_0,init_full_dst_edge_weight_mean_0,trained_full_dst_edge_weight_mean_0,init_full_dst_edge_weight_std_0,trained_full_dst_edge_weight_std_0,init_att_edge_0,trained_att_edge_0,init_edge_weight_mean_0,trained_edge_weight_mean_0,init_edge_weight_std_0,trained_edge_weight_std_0,init_full_edge_weight_mean_0,trained_full_edge_weight_mean_0,init_full_edge_weight_std_0,trained_full_edge_weight_std_0,init_bias_0,trained_bias_0
29,93.127205,0.8323964,1.4280260801315308,2.161952257156372,0.0596126951277256,1.271998405456543,-0.6771576404571533,-2.845857858657837,0.9815247058868408,-2.156599521636963,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.06203902140259743,4.022362232208252,0.15286196768283844,-1.7097591161727905,0.06203902140259743,4.022362232208252,0.15286196768283844,-1.7097591161727905,,
30,160.01083,0.93647933,-0.3643833100795746,1.3698225021362305,0.615026593208313,1.3444479703903198,0.6080907583236694,-2.777740001678467,1.6717112064361572,-2.3139731884002686,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.2745305299758911,7.74628210067749,0.05202079564332962,-1.9237107038497925,-0.2745305299758911,7.74628210067749,0.05202079564332962,-1.9237107038497925,,
31,82.88441,0.67834014,0.1526496261358261,1.6948789358139038,0.2883669137954712,1.003597617149353,-1.8810571432113647,-3.551532506942749,1.0215646028518677,-2.463024616241455,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.8503779768943787,-25.807376861572266,-1.603606939315796,-0.22117829322814941,-0.8503779768943787,-25.807376861572266,-1.603606939315796,-0.22117829322814941,,
32,52.850605,0.53920484,1.2742979526519775,1.7016628980636597,1.112605094909668,3.4487338066101074,0.4172567129135132,-2.7876367568969727,0.5938782691955566,-2.0153987407684326,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.7153454422950745,5.074286937713623,-0.5928454399108887,-2.2268316745758057,-0.7153454422950745,5.074286937713623,-0.5928454399108887,-2.2268316745758057,,
33,130.67795,0.8941997,-2.253126382827759,2.426539659500122,-0.24036230146884918,2.8289237022399902,-0.17923665046691895,-3.2693495750427246,-0.20948567986488342,-3.1735451221466064,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.5834180116653442,4.275822162628174,0.14162014424800873,-2.6420364379882812,-0.5834180116653442,4.275822162628174,0.14162014424800873,-2.6420364379882812,,
34,61.62009,0.5713799,0.7432959675788879,1.7332569360733032,0.5903632640838623,1.8114498853683472,0.09625604003667831,-3.0359792709350586,-0.9233835339546204,-3.1310577392578125,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.552630066871643,6.938095569610596,-0.8529925346374512,-2.2147955894470215,-1.552630066871643,6.938095569610596,-0.8529925346374512,-2.2147955894470215,,
35,65.40152,0.42729443,0.7422821521759033,3.7514960765838623,-1.8483006954193115,2.3825912475585938,-0.24839921295642853,-3.4640908241271973,-1.1710525751113892,-3.8733959197998047,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.7288289070129395,0.7800208330154419,-0.9388827681541443,-4.264925479888916,0.7288289070129395,0.7800208330154419,-0.9388827681541443,-4.264925479888916,,
36,125.58506,0.8670973,-0.16347727179527283,2.3031861782073975,-0.3888634443283081,2.3813788890838623,-0.7544301748275757,-4.021389484405518,-0.7317534685134888,-3.7761526107788086,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.5147902965545654,-0.09502706676721573,-0.07593557238578796,-2.9003093242645264,-1.5147902965545654,-0.09502706676721573,-0.07593557238578796,-2.9003093242645264,,
37,60.617157,0.4703586,0.4161461889743805,2.1226608753204346,-0.9555960893630981,2.078580141067505,-0.7729967832565308,-3.8598151206970215,0.7327595949172974,-2.9745090007781982,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.67267906665802,3.2162904739379883,0.16100268065929413,-3.0715835094451904,0.67267906665802,3.2162904739379883,0.16100268065929413,-3.0715835094451904,,
38,80.57562,0.6896976,0.005434426013380289,2.988210916519165,-0.6997396349906921,2.8281939029693604,-0.6878154277801514,-3.323312520980835,1.4530822038650513,-2.415895938873291,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,0.29587459564208984,5.03068208694458,1.2844390869140625,-2.5467324256896973,0.29587459564208984,5.03068208694458,1.2844390869140625,-2.5467324256896973,,
39,84.35517,0.5837923,-0.6766020059585571,3.1281065940856934,0.2380683720111847,2.026909828186035,-0.06940660625696182,-3.7375705242156982,-0.24611207842826843,-3.8641340732574463,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.0462371110916138,5.066397190093994,2.1600606441497803,-2.7578485012054443,-1.0462371110916138,5.066397190093994,2.1600606441497803,-2.7578485012054443,,
40,52.86075,0.41241446,-0.5974213480949402,4.0403289794921875,0.699479877948761,1.98514986038208,-0.10989716649055481,-2.9579954147338867,-0.24369023740291595,-3.5208849906921387,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-0.389050155878067,1.0277917385101318,1.047876238822937,-2.463097095489502,-0.389050155878067,1.0277917385101318,1.047876238822937,-2.463097095489502,,
41,40.18004,0.48137394,-1.1872379779815674,1.3999686241149902,0.2402363419532776,1.8042470216751099,0.7171906232833862,-2.4525561332702637,-0.259794145822525,-1.7598669528961182,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,-1.2172954082489014,1.476096272468567,2.670315742492676,2.621711254119873,-1.2172954082489014,1.476096272468567,2.670315742492676,2.621711254119873,,
