participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
65,1.7901380062103271,1.2216566801071167,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.0353857278823853,-1.0353857278823853,-1.0353857278823853,-1.0353857278823853,,
66,1.7777255773544312,1.3108569383621216,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4777748584747314,1.4777748584747314,1.4777748584747314,1.4777748584747314,,
67,2.265089988708496,1.5049645900726318,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5590397715568542,0.5590397715568542,0.5590397715568542,0.5590397715568542,,
68,1.9176881313323975,1.3147351741790771,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.28714466094970703,-0.28714466094970703,-0.28714466094970703,-0.28714466094970703,,
69,0.3509390950202942,0.4159449636936188,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.110517144203186,1.110517144203186,1.110517144203186,1.110517144203186,,
70,1.9363418817520142,1.3915250301361084,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.16258293390274048,-0.16258293390274048,-0.16258293390274048,-0.16258293390274048,,
71,0.49552416801452637,0.6503866910934448,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8877813816070557,0.8877813816070557,0.8877813816070557,0.8877813816070557,,
72,1.0915424823760986,0.9157664775848389,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2801461219787598,-1.2801461219787598,-1.2801461219787598,-1.2801461219787598,,
73,1.9541863203048706,1.3259822130203247,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5633339881896973,-1.5633339881896973,-1.5633339881896973,-1.5633339881896973,,
74,2.0038301944732666,1.3348052501678467,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.4143408238887787,0.4143408238887787,0.4143408238887787,0.4143408238887787,,
75,2.0886247158050537,1.4253344535827637,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7924445867538452,-0.7924445867538452,-0.7924445867538452,-0.7924445867538452,,
76,0.6446846723556519,0.8016394376754761,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2190864086151123,-1.2190864086151123,-1.2190864086151123,-1.2190864086151123,,
77,2.0805110931396484,1.3832749128341675,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4409503936767578,1.4409503936767578,1.4409503936767578,1.4409503936767578,,
78,0.9875622987747192,0.776430606842041,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.428191065788269,1.428191065788269,1.428191065788269,1.428191065788269,,
79,1.8835712671279907,1.3411073684692383,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.27310672402381897,0.27310672402381897,0.27310672402381897,0.27310672402381897,,
80,1.2650138139724731,0.9191511869430542,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3085064888000488,1.3085064888000488,1.3085064888000488,1.3085064888000488,,
81,1.7888156175613403,1.2899696826934814,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3627389669418335,-1.3627389669418335,-1.3627389669418335,-1.3627389669418335,,
82,1.8647204637527466,1.2866564989089966,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.036178406327962875,-0.036178406327962875,-0.036178406327962875,-0.036178406327962875,,
83,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.5086482763290405,-1.5086482763290405,-1.5086482763290405,-1.5086482763290405,,
84,0.8707132339477539,0.7713888883590698,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.972527027130127,0.972527027130127,0.972527027130127,0.972527027130127,,
85,1.2445297241210938,1.089019536972046,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.03800944238901138,0.03800944238901138,0.03800944238901138,0.03800944238901138,,
86,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.24443043768405914,-0.24443043768405914,-0.24443043768405914,-0.24443043768405914,,
87,2.0704033374786377,1.4369008541107178,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.6778544187545776,-1.6778544187545776,-1.6778544187545776,-1.6778544187545776,,
88,1.3335227966308594,0.9907053112983704,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.627446711063385,0.627446711063385,0.627446711063385,0.627446711063385,,
89,0.9291269183158875,0.8147480487823486,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0345141887664795,1.0345141887664795,1.0345141887664795,1.0345141887664795,,
90,1.784959077835083,1.2878087759017944,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.653326690196991,-0.653326690196991,-0.653326690196991,-0.653326690196991,,
91,1.6678528785705566,1.2080050706863403,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3430474996566772,1.3430474996566772,1.3430474996566772,1.3430474996566772,,
92,1.251118540763855,1.052718997001648,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.13771159946918488,0.13771159946918488,0.13771159946918488,0.13771159946918488,,
93,0.9805901646614075,0.7735496759414673,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.3877403736114502,-1.3877403736114502,-1.3877403736114502,-1.3877403736114502,,
94,1.8075248003005981,1.2286375761032104,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.7165999412536621,-0.7165999412536621,-0.7165999412536621,-0.7165999412536621,,
95,1.4211431741714478,1.1412705183029175,0.0,0.0,199.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.4456952810287476,-1.4456952810287476,-1.4456952810287476,-1.4456952810287476,,
