participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_src_content_1,trained_src_content_1,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
50,0.47165176272392273,0.5455608367919922,234.0,26.0,272.0,1.2579395771026611,1.2579395771026611,-1.1795122623443604,0.7896282076835632,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.9741049408912659,-0.9741049408912659,-0.9741049408912659,-0.9741049408912659,,
51,0.16524997353553772,0.33572444319725037,202.0,35.0,284.0,-1.245978832244873,-1.5694342851638794,-0.11467920988798141,-13.481356620788574,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.4933319389820099,-0.4933319389820099,-0.4933319389820099,-0.4933319389820099,,
52,0.005727718584239483,0.06880854815244675,186.0,43.0,293.0,1.2165175676345825,-3.0125837326049805,-0.48873165249824524,-7.109645843505859,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.13942551612854,-6.0584259033203125,1.13942551612854,-6.0584259033203125,,
53,0.033460065722465515,0.14287951588630676,304.0,275.0,407.0,-0.8226531744003296,-33.18229675292969,0.9312947988510132,-5.371163368225098,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.549769401550293,-9.05897331237793,0.549769401550293,-9.05897331237793,,
54,0.055419761687517166,0.14666640758514404,453.0,525.0,545.0,-0.9059203863143921,-45.688846588134766,0.5458367466926575,-3.884408473968506,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.4599570035934448,-4.252201080322266,1.4599570035934448,-4.252201080322266,,
55,0.03255487233400345,0.11505347490310669,248.0,174.0,390.0,-1.2971383333206177,-0.9903886318206787,-0.11042945832014084,-21.537334442138672,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.6758239269256592,-0.6758239269256592,-0.6758239269256592,-0.6758239269256592,,
56,0.19554941356182098,0.3705132007598877,185.0,41.0,256.0,0.6778767704963684,0.6778767704963684,-0.4468826949596405,0.9407272934913635,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.12563663721084595,-5.879845142364502,0.12563663721084595,-5.879845142364502,,
57,0.07552804797887802,0.24095286428928375,235.0,190.0,347.0,-0.2210654467344284,-48.178123474121094,0.2996787428855896,-5.195165634155273,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.2179010957479477,-0.2179010957479477,-0.2179010957479477,-0.2179010957479477,,
58,0.3873452842235565,0.4764007031917572,130.0,33.0,269.0,-1.3871110677719116,-1.3871110677719116,-0.8820676207542419,0.9033775329589844,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8777980804443359,-0.8777980804443359,-0.8777980804443359,-0.8777980804443359,,
59,0.10540422052145004,0.22153694927692413,214.0,63.0,295.0,-0.9890856742858887,-26.11540985107422,-0.1294177919626236,-3.690037727355957,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.11522382497787476,-0.11522382497787476,-0.11522382497787476,-0.11522382497787476,,
60,,,,,,0.5357112288475037,0.5357112288475037,0.5212491154670715,0.5212491154670715,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.023302529007196426,0.023302529007196426,0.023302529007196426,0.023302529007196426,,
61,0.23237712681293488,0.44164204597473145,206.0,56.0,302.0,0.5095494985580444,-1.4585292339324951,0.5402207374572754,-32.14069366455078,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.1251717805862427,-2.1826252937316895,1.1251717805862427,-2.1826252937316895,,
62,0.12020883709192276,0.28532809019088745,179.0,32.0,273.0,0.926199734210968,0.926199734210968,-0.7645153403282166,0.9404038190841675,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.18699713051319122,-5.124174118041992,0.18699713051319122,-5.124174118041992,,
63,0.013470105826854706,0.09699740260839462,255.0,48.0,287.0,0.8490521311759949,-8.17340087890625,-0.34296271204948425,-3.5570521354675293,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5321290493011475,-6.093698501586914,1.5321290493011475,-6.093698501586914,,
64,0.16633884608745575,0.3342774212360382,521.0,526.0,532.0,1.2580888271331787,-45.98796081542969,-0.138656884431839,-4.55778694152832,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.5913936495780945,-30.045089721679688,0.5913936495780945,-30.045089721679688,,
65,0.3299505412578583,0.33677858114242554,3098.0,8.0,3107.0,0.8496133685112,0.8496133685112,-1.2281231880187988,0.9560632705688477,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.30795130133628845,-275.46881103515625,-0.30795130133628845,-275.46881103515625,,
66,0.1324595957994461,0.29120761156082153,136.0,37.0,260.0,0.5770368576049805,0.5770368576049805,-1.0668879747390747,0.9743029475212097,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7101649045944214,-6.794299125671387,1.7101649045944214,-6.794299125671387,,
67,0.00030502810841426253,0.010247886180877686,262.0,94.0,273.0,-0.8276123404502869,-0.8276123404502869,-0.6929749250411987,0.9999672770500183,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5291622281074524,-0.5291622281074524,-0.5291622281074524,-0.5291622281074524,,
68,0.331586092710495,0.3336751163005829,209.0,1.0,300.0,0.20330610871315002,0.25256434082984924,-0.8497031927108765,1.0519059896469116,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.3063321113586426,6.8234663009643555,1.3063321113586426,6.8234663009643555,,
