participant,min_train_loss,min_train_mae,min_train_loss_epoch,min_train_mae_epoch,end_epoch,init_src_content_0,trained_src_content_0,init_att_src_edge_0,trained_att_src_edge_0,init_src_edge_0,trained_src_edge_0,init_full_src_edge_0,trained_full_src_edge_0,init_dst_content_0,trained_dst_content_0,init_att_dst_edge_0,trained_att_dst_edge_0,init_dst_edge_0,trained_dst_edge_0,init_full_dst_edge_0,trained_full_dst_edge_0,init_att_edge_0,trained_att_edge_0,init_edge_0,trained_edge_0,init_full_edge_0,trained_full_edge_0,init_bias_0,trained_bias_0
67,0.00030502790468744934,0.011231660842895508,333.0,88.0,467.0,-0.5782513618469238,0.9999662637710571,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.5237975120544434,-1.1827725172042847,1.5237975120544434,-1.1827725172042847,,
68,0.33226853609085083,0.36697059869766235,246.0,65.0,311.0,-0.9747941493988037,1.0778396129608154,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.8260736465454102,6.909701824188232,0.8260736465454102,6.909701824188232,,
69,0.09404028952121735,0.2154528647661209,162.0,40.0,251.0,-0.7454631328582764,-3.7523274421691895,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.15244576334953308,3.177690029144287,0.15244576334953308,3.177690029144287,,
70,1.9363418817520142,1.3915250301361084,0.0,0.0,199.0,-0.2064719945192337,-0.2064719945192337,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.7062734365463257,1.7062734365463257,1.7062734365463257,1.7062734365463257,,
71,0.1265166997909546,0.2657018303871155,166.0,16.0,230.0,0.6814644932746887,0.9252269268035889,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.04856348782777786,-5.9568939208984375,0.04856348782777786,-5.9568939208984375,,
72,0.8050569891929626,0.7661495208740234,133.0,11.0,253.0,0.2586366534233093,-3.276698112487793,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-1.2511695623397827,0.8198474049568176,-1.2511695623397827,0.8198474049568176,,
73,0.34982502460479736,0.36002108454704285,301.0,71.0,341.0,0.08871966600418091,0.980797529220581,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0526456832885742,31.606088638305664,1.0526456832885742,31.606088638305664,,
74,0.25257137417793274,0.2286253571510315,273.0,37.0,273.0,-1.041694164276123,0.9911110997200012,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,0.3163001835346222,-3.8157050609588623,0.3163001835346222,-3.8157050609588623,,
75,1.4583899974822998,0.897878110408783,53.0,5.0,226.0,1.5042247772216797,0.8911978006362915,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.5557834506034851,-0.5557834506034851,-0.5557834506034851,-0.5557834506034851,,
76,0.008209542371332645,0.08642172813415527,227.0,28.0,287.0,-1.49858820438385,0.9936118721961975,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,-0.8486343026161194,-0.8486343026161194,-0.8486343026161194,-0.8486343026161194,,
